id,__str__,link_detail_backend,metadata,numero,ano,numero_protocolo,data_apresentacao,tipo_apresentacao,data_publicacao,numero_origem_externa,ano_origem_externa,data_origem_externa,apelido,dias_prazo,data_fim_prazo,em_tramitacao,polemica,objeto,complementar,ementa,indexacao,observacao,resultado,texto_original,data_ultima_atualizacao,ip,ultima_edicao,tipo,regime_tramitacao,tipo_origem_externa,local_origem_externa,user,anexadas,autores
2325,Requerimento nº 24 de 2026,/materia/2325,{},24,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação asfáltica da Rua Maria Augusta Albano, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2325/req_024-2026.pdf,2026-02-23T13:48:20.925739-03:00,38.211.206.144,2026-02-19T16:07:37.625656-03:00,7,1,,,2,[],[5]
2326,Requerimento nº 25 de 2026,/materia/2326,{},25,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação em pedra tosca (calçamento) da Rua Manoel Evangelista da Silva, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2326/req_025-2026.pdf,2026-02-23T13:48:21.088194-03:00,38.211.206.144,2026-02-19T16:07:44.425141-03:00,7,1,,,2,[],[5]
2327,Requerimento nº 26 de 2026,/materia/2327,{},26,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a continuação da pavimentação em pedra tosca (calçamento) da Rua Rogaciano Leite, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2327/req_026-2026.pdf,2026-02-23T13:48:21.235903-03:00,38.211.206.144,2026-02-19T16:07:50.870765-03:00,7,1,,,2,[],[5]
2328,Requerimento nº 27 de 2026,/materia/2328,{},27,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a continuação da pavimentação em pedra tosca (calçamento) da Rua da Agulha, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2328/req_027-2026.pdf,2026-02-23T13:48:21.398139-03:00,38.211.206.144,2026-02-19T16:08:00.107067-03:00,7,1,,,2,[],[5]
2329,Requerimento nº 28 de 2026,/materia/2329,{},28,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Av. dos Bandeirantes, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2329/req_028-2026.pdf,2026-02-23T13:48:21.549868-03:00,38.211.206.144,2026-02-19T16:08:07.227413-03:00,7,1,,,2,[],[5]
2330,Requerimento nº 29 de 2026,/materia/2330,{},29,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Francisco Diassis da Silva, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2330/req_029-2026.pdf,2026-02-23T13:48:21.691046-03:00,38.211.206.144,2026-02-19T16:09:39.695199-03:00,7,1,,,2,[],[5]
2331,Requerimento nº 30 de 2026,/materia/2331,{},30,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Valdenor Firmino da Silva, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2331/req_030-2026.pdf,2026-02-23T13:48:21.870450-03:00,38.211.206.144,2026-02-19T15:59:21.453243-03:00,7,1,,,2,[],[5]
2332,Requerimento nº 31 de 2026,/materia/2332,{},31,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Francisco Pires Moreira, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2332/req_031-2026.pdf,2026-02-23T13:48:22.129944-03:00,38.211.206.144,2026-02-19T15:59:14.616253-03:00,7,1,,,2,[],[5]
2333,Requerimento nº 32 de 2026,/materia/2333,{},32,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Padre Cícero, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2333/req_032-2026.pdf,2026-02-23T13:48:22.291296-03:00,38.211.206.144,2026-02-19T15:59:08.192342-03:00,7,1,,,2,[],[5]
2334,Requerimento nº 33 de 2026,/materia/2334,{},33,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Rua Sol Nascente, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2334/req_033-2026.pdf,2026-02-23T13:48:22.445490-03:00,38.211.206.144,2026-02-19T15:59:01.507716-03:00,7,1,,,2,[],[5]
